7.45 Mbits/sec   3.857 ms    0/ 6368 (0%) 74.256/ 5.801/179.751/24.036 ms  633 pps
5.00 Mbits/sec   0.201 ms    0/ 4253 (0%)  3.055/ 2.753/ 7.454/ 0.211 ms  425 pps
11.0 Mbits/sec   0.115 ms    0/ 9355 (0%)  2.969/ 2.612/13.534/ 0.378 ms  935 pps
7.00 Mbits/sec   0.157 ms    0/ 5954 (0%)  2.872/ 2.550/ 9.370/ 0.270 ms  595 pps
9.00 Mbits/sec   0.102 ms    0/ 7655 (0%)  2.702/ 2.389/ 8.723/ 0.192 ms  765 pps
8.00 Mbits/sec   0.141 ms    0/ 6804 (0%)  2.624/ 2.313/10.170/ 0.284 ms  680 pps
8.00 Mbits/sec   0.101 ms    0/ 6804 (0%)  2.541/ 2.201/ 6.378/ 0.177 ms  680 pps
12.0 Mbits/sec   0.088 ms    0/10206 (0%)  2.423/ 2.111/ 7.588/ 0.145 ms 1020 pps
8.00 Mbits/sec   0.110 ms    0/ 6804 (0%)  2.323/ 2.021/ 5.092/ 0.118 ms  680 pps
12.0 Mbits/sec   0.118 ms    0/10206 (0%)  2.263/ 1.927/ 6.860/ 0.195 ms 1020 pps
4.00 Mbits/sec   0.113 ms    0/ 3403 (0%)  2.129/ 1.822/ 6.467/ 0.174 ms  340 pps
9.00 Mbits/sec   0.107 ms    0/ 7655 (0%)  2.002/ 1.718/ 8.182/ 0.149 ms  765 pps
9.00 Mbits/sec   0.114 ms    0/ 7654 (0%)  1.933/ 1.640/13.128/ 0.354 ms  765 pps
7.00 Mbits/sec   0.194 ms    0/ 5954 (0%)  1.850/ 1.552/ 7.829/ 0.171 ms  595 pps
9.00 Mbits/sec   0.124 ms    0/ 7655 (0%)  1.763/ 1.464/ 7.976/ 0.236 ms  765 pps
10.0 Mbits/sec   0.782 ms    0/ 8505 (0%)  1.702/ 1.412/ 9.564/ 0.236 ms  850 pps
9.00 Mbits/sec   0.156 ms    0/ 7655 (0%)  1.612/ 1.244/11.183/ 0.461 ms  765 pps
7.00 Mbits/sec   0.227 ms    0/ 5954 (0%)  1.435/ 1.147/10.170/ 0.288 ms  595 pps
8.00 Mbits/sec   0.090 ms    0/ 6804 (0%)  1.351/ 1.080/ 4.960/ 0.135 ms  680 pps
6.00 Mbits/sec   0.114 ms    0/ 5104 (0%)  1.327/ 0.995/12.164/ 0.410 ms  510 pps
9.00 Mbits/sec   0.094 ms    0/ 7654 (0%)  1.266/ 0.892/12.343/ 0.386 ms  765 pps
6.00 Mbits/sec   0.083 ms    0/ 5104 (0%)  1.133/ 0.789/ 6.988/ 0.241 ms  510 pps
9.00 Mbits/sec   0.112 ms    0/ 7654 (0%)  0.952/ 0.691/ 7.406/ 0.216 ms  765 pps
11.0 Mbits/sec   0.155 ms    0/ 9355 (0%)  0.858/ 0.587/ 4.148/ 0.145 ms  935 pps
11.0 Mbits/sec   0.138 ms    0/ 9355 (0%)  0.798/ 0.497/ 6.960/ 0.211 ms  935 pps
12.0 Mbits/sec   0.119 ms    0/10206 (0%)  0.736/ 0.412/ 7.341/ 0.322 ms 1020 pps
11.0 Mbits/sec   0.114 ms    0/ 9355 (0%)  0.616/ 0.321/ 6.247/ 0.224 ms  935 pps
11.0 Mbits/sec   0.080 ms    0/ 9355 (0%)  0.535/ 0.230/ 7.892/ 0.238 ms  935 pps
6.00 Mbits/sec   0.289 ms    0/ 5103 (0%)  0.424/ 0.104/ 9.569/ 0.332 ms  510 pps
7.00 Mbits/sec   0.119 ms    0/ 5954 (0%)  0.323/ 0.019/ 3.948/ 0.142 ms  595 pps
8.00 Mbits/sec   0.117 ms    0/ 6804 (0%)  0.208/-0.091/ 4.821/ 0.153 ms  680 pps
9.00 Mbits/sec   0.147 ms    0/ 7654 (0%)  0.111/-0.136/ 4.027/ 0.149 ms  765 pps
9.00 Mbits/sec   0.122 ms    0/ 7655 (0%)  0.062/-0.254/ 5.794/ 0.172 ms  765 pps
10.0 Mbits/sec   0.063 ms    0/ 8505 (0%) -0.035/-0.342/ 8.401/ 0.346 ms  850 pps
8.00 Mbits/sec   0.217 ms    0/ 6804 (0%) -0.150/-0.472/ 4.947/ 0.232 ms  680 pps
5.00 Mbits/sec   0.252 ms    0/ 4253 (0%) -0.237/-0.548/ 5.594/ 0.216 ms  425 pps
8.00 Mbits/sec   0.148 ms    0/ 6804 (0%) -0.339/-0.654/ 3.512/ 0.132 ms  680 pps
7.00 Mbits/sec   0.142 ms    0/ 5954 (0%) -0.377/-0.698/ 4.553/ 0.219 ms  595 pps
10.0 Mbits/sec   0.390 ms    0/ 8505 (0%) -0.412/-0.757/ 4.403/ 0.228 ms  850 pps
9.00 Mbits/sec   0.117 ms    0/ 7654 (0%) -0.577/-0.902/ 6.856/ 0.219 ms  765 pps
