8.57 Mbits/sec   1.022 ms    0/ 7295 (0%) 67.441/15.089/165.277/27.961 ms  728 pps
8.00 Mbits/sec   0.324 ms    0/ 6804 (0%)  2.617/ 2.313/11.076/ 0.270 ms  680 pps
11.0 Mbits/sec   0.120 ms    0/ 9355 (0%)  2.538/ 2.203/ 8.794/ 0.212 ms  935 pps
7.00 Mbits/sec   0.128 ms    0/ 5954 (0%)  2.475/ 2.159/ 8.711/ 0.232 ms  595 pps
8.00 Mbits/sec   0.108 ms    0/ 6804 (0%)  2.355/ 2.056/10.681/ 0.269 ms  680 pps
10.0 Mbits/sec   0.103 ms    0/ 8505 (0%)  2.278/ 1.938/ 7.229/ 0.190 ms  850 pps
7.00 Mbits/sec   0.101 ms    0/ 5954 (0%)  2.116/ 1.797/ 6.057/ 0.162 ms  595 pps
9.00 Mbits/sec   0.157 ms    0/ 7655 (0%)  2.031/ 1.744/ 8.676/ 0.183 ms  765 pps
10.0 Mbits/sec   0.129 ms    0/ 8505 (0%)  1.947/ 1.640/ 8.555/ 0.208 ms  850 pps
10.0 Mbits/sec   0.121 ms    0/ 8505 (0%)  1.829/ 1.544/ 8.594/ 0.199 ms  850 pps
8.00 Mbits/sec   0.144 ms    0/ 6804 (0%)  1.761/ 1.448/ 3.967/ 0.128 ms  680 pps
6.00 Mbits/sec   0.104 ms    0/ 5103 (0%)  1.668/ 1.350/ 6.110/ 0.209 ms  510 pps
12.0 Mbits/sec   0.193 ms    0/10206 (0%)  1.509/ 1.221/ 4.791/ 0.135 ms 1020 pps
9.00 Mbits/sec   0.114 ms    0/ 7655 (0%)  1.439/ 1.131/ 9.264/ 0.250 ms  765 pps
9.00 Mbits/sec   0.066 ms    0/ 7655 (0%)  1.340/ 1.043/ 3.478/ 0.117 ms  765 pps
8.00 Mbits/sec   0.173 ms    0/ 6804 (0%)  1.288/ 0.949/ 8.418/ 0.225 ms  680 pps
9.00 Mbits/sec   0.107 ms    0/ 7654 (0%)  1.249/ 0.862/11.410/ 0.463 ms  765 pps
10.0 Mbits/sec   0.088 ms    0/ 8505 (0%)  1.089/ 0.788/ 7.309/ 0.221 ms  850 pps
10.0 Mbits/sec   0.073 ms    0/ 8505 (0%)  0.949/ 0.642/ 4.857/ 0.179 ms  850 pps
8.00 Mbits/sec   0.101 ms    0/ 6804 (0%)  0.821/ 0.555/ 7.019/ 0.169 ms  680 pps
4.00 Mbits/sec   0.143 ms    0/ 3403 (0%)  0.784/ 0.480/ 4.884/ 0.147 ms  340 pps
11.0 Mbits/sec   0.305 ms    0/ 9355 (0%)  0.708/ 0.377/ 3.595/ 0.141 ms  935 pps
10.0 Mbits/sec   0.110 ms    0/ 8505 (0%)  0.601/ 0.290/ 8.011/ 0.236 ms  850 pps
9.00 Mbits/sec   0.091 ms    0/ 7654 (0%)  0.512/ 0.224/ 6.262/ 0.248 ms  765 pps
8.00 Mbits/sec   0.172 ms    0/ 6804 (0%)  0.377/ 0.068/ 9.736/ 0.252 ms  680 pps
9.00 Mbits/sec   0.103 ms    0/ 7655 (0%)  0.310/ 0.006/10.053/ 0.249 ms  765 pps
10.0 Mbits/sec   0.085 ms    0/ 8505 (0%)  0.221/-0.089/ 2.921/ 0.149 ms  850 pps
4.00 Mbits/sec   0.089 ms    0/ 3403 (0%)  0.090/-0.152/ 2.334/ 0.113 ms  340 pps
9.00 Mbits/sec   0.136 ms    0/ 7654 (0%)  0.033/-0.268/ 3.362/ 0.170 ms  765 pps
6.00 Mbits/sec   0.099 ms    0/ 5104 (0%) -0.045/-0.346/ 5.442/ 0.262 ms  510 pps
7.00 Mbits/sec   0.062 ms    0/ 5954 (0%) -0.087/-0.464/ 9.742/ 0.289 ms  595 pps
8.00 Mbits/sec   0.161 ms    0/ 6804 (0%) -0.251/-0.563/ 6.973/ 0.209 ms  680 pps
10.0 Mbits/sec   0.133 ms    0/ 8505 (0%) -0.328/-0.646/ 3.408/ 0.141 ms  850 pps
8.00 Mbits/sec   0.154 ms    0/ 6804 (0%) -0.395/-0.722/ 4.349/ 0.203 ms  680 pps
10.0 Mbits/sec   0.119 ms    0/ 8505 (0%) -0.460/-0.806/ 6.793/ 0.326 ms  850 pps
7.00 Mbits/sec   0.096 ms    0/ 5954 (0%) -0.605/-0.898/ 8.252/ 0.294 ms  595 pps
