6.00 Mbits/sec   0.094 ms    0/ 5104 (0%) -440.007/-440.400/-439.026/ 6.167 ms  510 pps
9.00 Mbits/sec   0.085 ms    0/ 7655 (0%) -438.970/-439.420/-437.308/ 5.023 ms  765 pps
10.0 Mbits/sec   0.060 ms    0/ 8505 (0%) -437.958/-438.393/-435.787/ 4.754 ms  850 pps
6.00 Mbits/sec   0.099 ms    0/ 5104 (0%) -436.971/-437.385/-435.403/ 6.122 ms  510 pps
6.00 Mbits/sec   0.096 ms    0/ 5104 (0%) -435.963/-436.432/-434.988/ 6.110 ms  510 pps
4.00 Mbits/sec   0.101 ms    0/ 3403 (0%) -435.027/-435.446/-434.187/ 7.462 ms  340 pps
12.0 Mbits/sec   0.103 ms    0/10206 (0%) -433.446/-433.891/-431.326/ 4.297 ms 1020 pps
9.00 Mbits/sec   0.084 ms    0/ 7655 (0%) -432.437/-432.861/-428.209/ 4.948 ms  765 pps
6.00 Mbits/sec   0.068 ms    0/ 5104 (0%) -431.375/-431.804/-430.158/ 6.045 ms  510 pps
10.0 Mbits/sec   0.110 ms    0/ 8505 (0%) -430.327/-430.781/-428.194/ 4.672 ms  850 pps
10.0 Mbits/sec   0.090 ms    0/ 8505 (0%) -429.233/-429.727/-425.870/ 4.661 ms  850 pps
2.00 Mbits/sec   0.078 ms    0/ 1702 (0%) -428.267/-428.616/-427.833/10.391 ms  170 pps
6.00 Mbits/sec   0.098 ms    0/ 5103 (0%) -426.640/-427.074/-425.079/ 5.979 ms  510 pps
8.00 Mbits/sec   0.063 ms    0/ 6804 (0%) -425.584/-426.037/-424.248/ 5.166 ms  680 pps
9.00 Mbits/sec   0.063 ms    0/ 7655 (0%) -424.529/-424.960/-422.279/ 4.858 ms  765 pps
11.0 Mbits/sec   0.098 ms    0/ 9355 (0%) -423.487/-423.954/-422.554/ 4.384 ms  935 pps
6.00 Mbits/sec   0.115 ms    0/ 5104 (0%) -422.466/-422.851/-421.369/ 5.919 ms  510 pps
8.00 Mbits/sec   0.141 ms    0/ 6804 (0%) -421.482/-421.935/-419.453/ 5.115 ms  680 pps
10.0 Mbits/sec   0.120 ms    0/ 8505 (0%) -420.004/-420.429/-418.334/ 4.560 ms  850 pps
7.00 Mbits/sec   0.082 ms    0/ 5954 (0%) -418.936/-419.385/-417.853/ 5.434 ms  595 pps
8.00 Mbits/sec   0.111 ms    0/ 6804 (0%) -417.911/-418.402/-416.439/ 5.073 ms  680 pps
10.0 Mbits/sec   0.116 ms    0/ 8505 (0%) -416.882/-417.335/-415.620/ 4.527 ms  850 pps
6.00 Mbits/sec   0.121 ms    0/ 5104 (0%) -415.872/-416.324/-413.983/ 5.829 ms  510 pps
8.00 Mbits/sec   0.113 ms    0/ 6804 (0%) -414.815/-415.293/-412.362/ 5.036 ms  680 pps
10.0 Mbits/sec   0.094 ms    0/ 8505 (0%) -413.268/-413.718/-410.901/ 4.487 ms  850 pps
5.00 Mbits/sec   0.089 ms    0/ 4253 (0%) -412.222/-412.697/-410.432/ 6.331 ms  425 pps
7.00 Mbits/sec   0.079 ms    0/ 5954 (0%) -411.200/-411.668/-410.470/ 5.338 ms  595 pps
10.0 Mbits/sec   0.064 ms    0/ 8505 (0%) -410.179/-410.662/-408.172/ 4.455 ms  850 pps
10.0 Mbits/sec   0.098 ms    0/ 8505 (0%) -409.194/-409.634/-406.533/ 4.443 ms  850 pps
4.00 Mbits/sec   0.065 ms    0/ 3403 (0%) -408.198/-408.609/-407.629/ 7.004 ms  340 pps
6.00 Mbits/sec   0.077 ms    0/ 5104 (0%) -406.595/-407.039/-405.783/ 5.698 ms  510 pps
5.00 Mbits/sec   0.102 ms    0/ 4253 (0%) -405.525/-405.948/-404.706/ 6.224 ms  425 pps
11.0 Mbits/sec   0.075 ms    0/ 9355 (0%) -404.459/-404.915/-403.009/ 4.186 ms  935 pps
9.00 Mbits/sec   0.084 ms    0/ 7655 (0%) -403.496/-403.923/-400.519/ 4.620 ms  765 pps
9.00 Mbits/sec   0.108 ms    0/ 7655 (0%) -402.505/-402.919/-401.468/ 4.606 ms  765 pps
7.00 Mbits/sec   0.112 ms    0/ 5954 (0%) -401.445/-401.935/-399.561/ 5.208 ms  595 pps
5.00 Mbits/sec   0.098 ms    0/ 4253 (0%) -399.910/-400.318/-398.420/ 6.136 ms  425 pps
7.00 Mbits/sec   0.090 ms    0/ 5954 (0%) -398.910/-399.375/-395.124/ 5.177 ms  595 pps
7.00 Mbits/sec   0.100 ms    0/ 5954 (0%) -397.846/-398.288/-396.395/ 5.162 ms  595 pps
10.0 Mbits/sec   0.159 ms    0/ 8505 (0%) -396.812/-397.259/-395.529/ 4.310 ms  850 pps
7.00 Mbits/sec   0.108 ms    0/ 5954 (0%) -395.834/-396.295/-393.560/ 5.140 ms  595 pps
9.00 Mbits/sec   0.119 ms    0/ 7655 (0%) -394.844/-395.282/-393.153/ 4.520 ms  765 pps
7.00 Mbits/sec   0.077 ms    0/ 5954 (0%) -393.258/-393.675/-390.000/ 5.102 ms  595 pps
5.00 Mbits/sec   0.086 ms    0/ 4253 (0%) -392.273/-392.699/-391.466/ 6.023 ms  425 pps
7.00 Mbits/sec   0.080 ms    0/ 5953 (0%) -391.227/-391.678/-388.123/ 5.077 ms  595 pps
6.00 Mbits/sec   0.117 ms    0/ 5104 (0%) -390.212/-390.657/-388.922/ 5.470 ms  510 pps
8.00 Mbits/sec   0.061 ms    0/ 6804 (0%) -389.112/-389.567/-387.430/ 4.725 ms  680 pps
10.0 Mbits/sec   0.096 ms    0/ 8505 (0%) -388.035/-388.531/-386.769/ 4.212 ms  850 pps
6.00 Mbits/sec   0.084 ms    0/ 5103 (0%) -386.534/-386.980/-385.316/ 5.420 ms  510 pps
6.00 Mbits/sec   0.107 ms    0/ 5104 (0%) -385.510/-385.944/-383.999/ 5.402 ms  510 pps
8.00 Mbits/sec   0.089 ms    0/ 6804 (0%) -384.498/-384.891/-382.434/ 4.667 ms  680 pps
9.00 Mbits/sec   0.081 ms    0/ 7655 (0%) -383.476/-383.925/-381.126/ 4.390 ms  765 pps
8.00 Mbits/sec   0.081 ms    0/ 6804 (0%) -382.438/-382.884/-380.651/ 4.644 ms  680 pps
