8.00 Mbits/sec   0.114 ms    0/ 6804 (0%) 20.076/19.736/27.143/ 0.321 ms  680 pps
10.0 Mbits/sec   0.133 ms    0/ 8505 (0%) 20.061/19.755/27.294/ 0.304 ms  850 pps
9.00 Mbits/sec   0.093 ms    0/ 7654 (0%) 20.155/19.790/29.627/ 0.460 ms  765 pps
6.00 Mbits/sec   0.085 ms    0/ 5103 (0%) 20.164/19.810/21.461/ 0.319 ms  510 pps
5.00 Mbits/sec   0.103 ms    0/ 4253 (0%) 20.249/19.870/26.919/ 0.410 ms  425 pps
7.00 Mbits/sec   0.070 ms    0/ 5953 (0%) 20.275/19.912/27.752/ 0.415 ms  595 pps
9.00 Mbits/sec   0.139 ms    0/ 7654 (0%) 20.241/19.953/24.776/ 0.278 ms  765 pps
8.00 Mbits/sec   0.097 ms    0/ 6804 (0%) 20.278/19.983/24.417/ 0.294 ms  680 pps
6.00 Mbits/sec   0.099 ms    0/ 5103 (0%) 20.303/20.006/25.629/ 0.327 ms  510 pps
9.00 Mbits/sec   0.089 ms    0/ 7654 (0%) 20.336/20.048/24.345/ 0.286 ms  765 pps
6.00 Mbits/sec   0.189 ms    0/ 5103 (0%) 20.421/20.088/29.395/ 0.455 ms  510 pps
9.00 Mbits/sec   0.126 ms    0/ 7654 (0%) 20.451/20.125/29.077/ 0.403 ms  765 pps
9.00 Mbits/sec   0.122 ms    0/ 7654 (0%) 20.443/20.143/25.204/ 0.313 ms  765 pps
9.00 Mbits/sec   0.151 ms    0/ 7654 (0%) 20.490/20.192/25.477/ 0.316 ms  765 pps
6.00 Mbits/sec   0.178 ms    0/ 5103 (0%) 20.528/20.233/28.631/ 0.358 ms  510 pps
8.00 Mbits/sec   0.150 ms    0/ 6804 (0%) 20.548/20.238/24.324/ 0.289 ms  680 pps
8.00 Mbits/sec   0.149 ms    0/ 6804 (0%) 20.605/20.291/31.820/ 0.429 ms  680 pps
10.0 Mbits/sec   0.222 ms    0/ 8505 (0%) 20.629/20.327/30.479/ 0.365 ms  850 pps
9.00 Mbits/sec   0.110 ms    0/ 7654 (0%) 20.685/20.376/28.210/ 0.354 ms  765 pps
10.0 Mbits/sec   0.100 ms    0/ 8505 (0%) 20.694/20.387/26.286/ 0.290 ms  850 pps
11.0 Mbits/sec   0.117 ms    0/ 9355 (0%) 20.762/20.418/28.964/ 0.434 ms  935 pps
9.00 Mbits/sec   0.089 ms    0/ 7654 (0%) 20.777/20.478/29.440/ 0.370 ms  765 pps
9.00 Mbits/sec   0.098 ms    0/ 7654 (0%) 20.827/20.521/27.978/ 0.355 ms  765 pps
11.0 Mbits/sec   0.145 ms    0/ 9355 (0%) 20.909/20.552/31.067/ 0.509 ms  935 pps
6.00 Mbits/sec   0.136 ms    0/ 5103 (0%) 20.868/20.586/27.733/ 0.348 ms  510 pps
7.00 Mbits/sec   0.133 ms    0/ 5954 (0%) 20.954/20.620/27.103/ 0.349 ms  595 pps
5.00 Mbits/sec   0.167 ms    0/ 4253 (0%) 20.951/20.681/24.510/ 0.365 ms  424 pps
