5.00 Mbits/sec   0.084 ms    0/ 4253 (0%)  6.133/ 5.765/ 9.796/ 0.269 ms  425 pps
11.0 Mbits/sec   1.620 ms    0/ 9355 (0%) 51.046/ 5.767/146.343/30.291 ms  931 pps
11.0 Mbits/sec   0.377 ms    0/ 9355 (0%) 53.303/ 5.844/152.967/31.270 ms  934 pps
8.00 Mbits/sec   0.136 ms    0/ 6804 (0%) 35.077/ 5.811/98.490/30.641 ms  680 pps
13.0 Mbits/sec   0.248 ms    0/11056 (0%) 43.900/ 5.794/167.048/28.606 ms 1104 pps
11.0 Mbits/sec   0.170 ms    0/ 9355 (0%) 16.877/ 5.797/55.923/13.978 ms  935 pps
9.00 Mbits/sec   0.102 ms    0/ 7654 (0%)  6.016/ 5.798/10.351/ 0.188 ms  765 pps
8.99 Mbits/sec   0.215 ms    0/ 7654 (0%) 39.248/ 5.866/108.267/29.117 ms  764 pps
6.99 Mbits/sec   0.229 ms    0/ 5954 (0%) 31.794/ 5.820/107.680/25.629 ms  594 pps
9.99 Mbits/sec   0.136 ms    0/ 8505 (0%) 18.643/ 5.894/29.776/ 4.372 ms  849 pps
11.0 Mbits/sec   1.111 ms    0/ 9355 (0%) 45.929/ 5.826/155.602/26.123 ms  931 pps
9.35 Mbits/sec   2.250 ms    0/ 7978 (0%) 50.224/ 5.839/186.017/39.966 ms  794 pps
11.0 Mbits/sec   0.135 ms    0/ 9355 (0%) 36.636/ 5.848/130.515/28.841 ms  935 pps
7.65 Mbits/sec   2.555 ms    0/ 6547 (0%) 83.191/ 5.903/185.672/32.008 ms  650 pps
7.76 Mbits/sec   9.069 ms    0/ 6672 (0%) 64.760/ 5.868/204.840/34.786 ms  659 pps
6.99 Mbits/sec   0.251 ms    0/ 5954 (0%) 68.847/ 5.895/123.879/30.280 ms  594 pps
7.92 Mbits/sec   1.565 ms    0/ 6804 (0%) 89.769/ 5.903/161.706/38.260 ms  673 pps
10.0 Mbits/sec   0.143 ms    0/ 8505 (0%) 17.498/ 5.891/27.713/ 4.814 ms  850 pps
9.00 Mbits/sec   0.129 ms    0/ 7654 (0%) 13.403/ 5.897/98.370/19.549 ms  765 pps
7.98 Mbits/sec   1.681 ms    0/ 6804 (0%) 73.025/ 5.987/121.653/35.101 ms  678 pps
7.93 Mbits/sec   1.037 ms    0/ 6804 (0%) 79.805/ 5.925/142.421/41.450 ms  674 pps
13.0 Mbits/sec   0.687 ms    0/11060 (0%) 57.572/ 6.202/182.934/30.375 ms 1102 pps
7.00 Mbits/sec   0.096 ms    0/ 5954 (0%) 75.182/ 5.945/141.650/36.523 ms  595 pps
9.98 Mbits/sec   1.084 ms    0/ 8505 (0%) 71.178/ 6.004/105.153/23.992 ms  848 pps
10.0 Mbits/sec   0.146 ms    0/ 8505 (0%) 15.184/ 5.928/84.985/14.113 ms  850 pps
8.76 Mbits/sec   3.171 ms    0/ 7492 (0%) 75.093/ 5.993/163.324/24.024 ms  744 pps
8.89 Mbits/sec   5.229 ms    0/ 7613 (0%) 80.932/ 5.954/164.242/22.965 ms  755 pps
6.94 Mbits/sec   2.388 ms    0/ 5954 (0%) 71.060/ 5.991/114.160/33.276 ms  589 pps
8.41 Mbits/sec   7.424 ms    0/ 7210 (0%) 60.911/ 5.952/207.286/43.415 ms  714 pps
9.80 Mbits/sec   3.963 ms    0/ 8397 (0%) 53.007/ 5.995/136.831/33.142 ms  833 pps
9.00 Mbits/sec   0.190 ms    0/ 7654 (0%) 17.759/ 5.967/114.582/26.506 ms  765 pps
8.69 Mbits/sec   7.036 ms    0/ 7469 (0%) 48.201/ 5.978/194.747/47.293 ms  739 pps
7.57 Mbits/sec   4.682 ms    0/ 6478 (0%) 45.285/ 6.001/172.943/40.132 ms  643 pps
7.77 Mbits/sec   4.714 ms    0/ 6643 (0%) 67.522/ 6.037/185.625/43.049 ms  660 pps
8.10 Mbits/sec   5.867 ms    0/ 6959 (0%) 58.734/ 6.028/167.160/46.155 ms  688 pps
11.0 Mbits/sec   0.162 ms    0/ 9355 (0%) 14.211/ 6.072/31.207/ 6.631 ms  935 pps
5.99 Mbits/sec   0.507 ms    0/ 5103 (0%) 30.772/ 6.083/123.883/33.672 ms  509 pps
10.6 Mbits/sec   4.988 ms    0/ 9088 (0%) 38.478/ 6.117/139.057/36.004 ms  899 pps
8.29 Mbits/sec   6.658 ms    0/ 7107 (0%) 50.993/ 6.145/178.596/47.911 ms  704 pps
7.64 Mbits/sec   7.999 ms    0/ 6554 (0%) 42.814/ 6.153/195.409/45.338 ms  649 pps
8.95 Mbits/sec   1.959 ms    0/ 7655 (0%) 60.865/ 6.224/156.340/43.178 ms  761 pps
12.0 Mbits/sec   1.472 ms    0/10252 (0%) 36.614/ 6.200/168.784/35.731 ms 1020 pps
11.0 Mbits/sec   0.085 ms    0/ 9355 (0%) 42.548/ 6.252/203.889/35.642 ms  935 pps
4.98 Mbits/sec   2.985 ms    0/ 4253 (0%) 40.257/ 6.260/123.391/38.764 ms  423 pps
9.56 Mbits/sec   7.319 ms    0/ 8233 (0%) 16.359/ 6.296/207.718/27.085 ms  813 pps
7.74 Mbits/sec   7.342 ms    0/ 6654 (0%) 22.000/ 6.303/174.762/34.628 ms  657 pps
9.85 Mbits/sec   1.302 ms    0/ 8410 (0%) 45.008/ 6.349/183.787/41.244 ms  837 pps
8.00 Mbits/sec   0.134 ms    0/ 6804 (0%)  6.573/ 6.375/10.672/ 0.198 ms  680 pps
10.1 Mbits/sec   1.920 ms    0/ 8650 (0%) 64.286/ 6.386/173.046/34.324 ms  860 pps
8.00 Mbits/sec   0.210 ms    0/ 6804 (0%) 34.916/ 6.434/114.484/37.996 ms  680 pps
9.97 Mbits/sec   1.199 ms    0/ 8505 (0%) 46.465/ 6.427/124.664/31.799 ms  847 pps
8.96 Mbits/sec   1.698 ms    0/ 7654 (0%) 59.018/ 6.459/161.050/36.933 ms  762 pps
9.72 Mbits/sec   2.259 ms    0/ 8308 (0%) 54.934/ 6.489/189.945/36.725 ms  826 pps
10.0 Mbits/sec   0.141 ms    0/ 8505 (0%)  6.720/ 6.491/13.062/ 0.261 ms  850 pps
12.0 Mbits/sec   0.167 ms    0/10205 (0%) 55.346/ 6.540/138.046/28.390 ms 1019 pps
9.00 Mbits/sec   0.153 ms    0/ 7654 (0%) 19.722/ 6.559/116.029/28.738 ms  765 pps
6.00 Mbits/sec   0.116 ms    0/ 5103 (0%)  7.056/ 6.570/14.722/ 1.029 ms  510 pps
12.0 Mbits/sec   0.115 ms    0/10205 (0%) 29.415/ 6.579/123.010/25.923 ms 1020 pps
8.00 Mbits/sec   0.119 ms    0/ 6804 (0%) 28.940/ 6.619/122.088/26.738 ms  680 pps
11.0 Mbits/sec   0.102 ms    0/ 9355 (0%)  6.873/ 6.619/15.453/ 0.256 ms  935 pps
11.0 Mbits/sec   0.309 ms    0/ 9355 (0%) 10.685/ 6.645/60.836/10.734 ms  934 pps
9.00 Mbits/sec   0.088 ms    0/ 7654 (0%)  6.841/ 6.667/11.602/ 0.189 ms  765 pps
10.0 Mbits/sec   5.953 ms    0/ 8597 (0%) 53.160/ 6.721/141.205/34.699 ms  853 pps
7.95 Mbits/sec   2.013 ms    0/ 6804 (0%) 59.854/ 6.776/130.458/37.076 ms  676 pps
10.0 Mbits/sec   0.105 ms    0/ 8505 (0%) 25.863/ 6.760/81.255/18.245 ms  850 pps
10.0 Mbits/sec   0.080 ms    0/ 8504 (0%)  7.013/ 6.769/10.625/ 0.209 ms  850 pps
